,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
61,bdl.nyc,nyc,soloverly,sydney,diamonds,diamonddistrict,diamondsnyc,asschercut,diamondring,ringstyle,ringoftheday,handmadering,aisleperfect,bespokering,theknot,customring,jewelernyc,,,,,,,,,,,,,
62,marrymerings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,spice.dior_,european,ballroom,newyork,equality,thecarolinas,newjersey,kikiscene,philly,diamonddistrict,dance,godmother,paris,performance,voguer,london,bqvf,commencedior,florida,oty,midwest,dmv,pride,atl,family,voguefem,dior,internationalhaus,fashion,
64,spice.dior_,voguer,paris,dmv,bqvf,kikiscene,commencedior,ballroom,family,dance,voguefem,newjersey,philly,atl,internationalhaus,oty,midwest,pride,godmother,thecarolinas,european,newyork,diamonddistrict,performance,fashion,florida,dior,equality,london,
65,spice.dior_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,spice.dior_,oty,dance,dmv,commencedior,performance,voguefem,godmother,philly,midwest,paris,atl,ballroom,internationalhaus,european,newyork,kikiscene,london,pride,fashion,thecarolinas,diamonddistrict,family,florida,equality,dior,voguer,newjersey,bqvf,
67,spice.dior_,dmv,philly,commencedior,dior,european,london,equality,newjersey,thecarolinas,family,florida,pride,newyork,dance,godmother,kikiscene,bqvf,paris,atl,voguefem,performance,internationalhaus,voguer,midwest,diamonddistrict,fashion,oty,ballroom,
68,spice.dior_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,spice.dior_,pride,dmv,godmother,commencedior,dance,bqvf,london,internationalhaus,performance,family,dior,fashion,midwest,voguer,ballroom,atl,voguefem,european,kikiscene,equality,newjersey,newyork,diamonddistrict,florida,paris,philly,thecarolinas,oty,
70,spice.dior_,pride,ballroom,family,performance,voguer,oty,newyork,voguefem,godmother,midwest,philly,commencedior,thecarolinas,dance,dior,paris,bqvf,london,dmv,internationalhaus,fashion,equality,kikiscene,newjersey,european,diamonddistrict,florida,atl,
71,spice.dior_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,spice.dior_,philly,london,godmother,bqvf,diamonddistrict,voguer,dance,equality,paris,midwest,kikiscene,dior,atl,family,pride,newyork,fashion,performance,voguefem,newjersey,dmv,european,oty,florida,internationalhaus,thecarolinas,commencedior,ballroom,
73,spice.dior_,fashion,voguefem,paris,midwest,godmother,dance,performance,kikiscene,bqvf,atl,pride,dmv,family,newyork,ballroom,newjersey,equality,commencedior,philly,internationalhaus,diamonddistrict,dior,florida,voguer,european,thecarolinas,london,oty,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
